BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
340 Sorø;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;20362
350 Lejre;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;991
350 Lejre;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2580
350 Lejre;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;166
350 Lejre;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1246
350 Lejre;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;118
350 Lejre;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;18596
360 Lolland;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;821
360 Lolland;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;3078
360 Lolland;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;101
360 Lolland;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;567
360 Lolland;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;19
360 Lolland;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;33330
370 Næstved;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;2312
370 Næstved;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;7535
370 Næstved;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;317
370 Næstved;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1794
370 Næstved;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;57
370 Næstved;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;57303
376 Guldborgsund;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1423
376 Guldborgsund;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;5193
376 Guldborgsund;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;209
376 Guldborgsund;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1137
376 Guldborgsund;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;28
376 Guldborgsund;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;44236
390 Vordingborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1047
390 Vordingborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;4143
390 Vordingborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;183
390 Vordingborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1064
390 Vordingborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;44
390 Vordingborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;32402
400 Bornholm;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;889
