DECILGEN;KOMMUNEDK;TID;INDHOLD
2DC Second decil;147 Frederiksberg;2013 2013;126945
3DC Third decil;147 Frederiksberg;2013 2013;158014
4DC Fourth decil;147 Frederiksberg;2013 2013;187085
5DC Fifth decil;147 Frederiksberg;2013 2013;217567
6DC Sixth decil;147 Frederiksberg;2013 2013;251004
7DC Seventh decil;147 Frederiksberg;2013 2013;288431
8DC Eigth decil;147 Frederiksberg;2013 2013;334753
9DC Ninth decil;147 Frederiksberg;2013 2013;404349
10DC Tenth decil;147 Frederiksberg;2013 2013;707961
1DC First decil;151 Ballerup;2013 2013;91381
2DC Second decil;151 Ballerup;2013 2013;146018
3DC Third decil;151 Ballerup;2013 2013;167238
4DC Fourth decil;151 Ballerup;2013 2013;188600
5DC Fifth decil;151 Ballerup;2013 2013;212261
6DC Sixth decil;151 Ballerup;2013 2013;239074
7DC Seventh decil;151 Ballerup;2013 2013;270025
8DC Eigth decil;151 Ballerup;2013 2013;306990
9DC Ninth decil;151 Ballerup;2013 2013;354777
10DC Tenth decil;151 Ballerup;2013 2013;497033
1DC First decil;153 Brøndby;2013 2013;81673
2DC Second decil;153 Brøndby;2013 2013;133150
3DC Third decil;153 Brøndby;2013 2013;154561
4DC Fourth decil;153 Brøndby;2013 2013;170562
5DC Fifth decil;153 Brøndby;2013 2013;189490
6DC Sixth decil;153 Brøndby;2013 2013;213067
7DC Seventh decil;153 Brøndby;2013 2013;239102
8DC Eigth decil;153 Brøndby;2013 2013;271069
9DC Ninth decil;153 Brøndby;2013 2013;316093
10DC Tenth decil;153 Brøndby;2013 2013;440781
1DC First decil;155 Dragør;2013 2013;95430
2DC Second decil;155 Dragør;2013 2013;182732
3DC Third decil;155 Dragør;2013 2013;223502
4DC Fourth decil;155 Dragør;2013 2013;258401
5DC Fifth decil;155 Dragør;2013 2013;286296
