KOMMUNEDK;INDKN;TID;INDHOLD
210 Fredensborg;60 60 per cent of median income;2000 2000;7.0
219 Hillerød;60 60 per cent of median income;2000 2000;6.9
230 Rudersdal;60 60 per cent of median income;2000 2000;6.5
250 Frederikssund;60 60 per cent of median income;2000 2000;6.3
259 Køge;60 60 per cent of median income;2000 2000;6.5
265 Roskilde;60 60 per cent of median income;2000 2000;7.3
270 Gribskov;60 60 per cent of median income;2000 2000;6.4
316 Holbæk;60 60 per cent of median income;2000 2000;8.8
326 Kalundborg;60 60 per cent of median income;2000 2000;8.8
330 Slagelse;60 60 per cent of median income;2000 2000;10.3
340 Sorø;60 60 per cent of median income;2000 2000;8.0
360 Lolland;60 60 per cent of median income;2000 2000;14.0
376 Guldborgsund;60 60 per cent of median income;2000 2000;10.7
400 Bornholm;60 60 per cent of median income;2000 2000;10.4
420 Assens;60 60 per cent of median income;2000 2000;7.4
440 Kerteminde;60 60 per cent of median income;2000 2000;6.9
461 Odense;60 60 per cent of median income;2000 2000;14.7
480 Nordfyns;60 60 per cent of median income;2000 2000;8.5
492 Ærø;60 60 per cent of median income;2000 2000;12.3
530 Billund;60 60 per cent of median income;2000 2000;7.0
550 Tønder;60 60 per cent of median income;2000 2000;9.6
563 Fanø;60 60 per cent of median income;2000 2000;8.1
575 Vejen;60 60 per cent of median income;2000 2000;8.8
607 Fredericia;60 60 per cent of median income;2000 2000;7.5
621 Kolding;60 60 per cent of median income;2000 2000;8.9
657 Herning;60 60 per cent of median income;2000 2000;8.3
665 Lemvig;60 60 per cent of median income;2000 2000;9.6
706 Syddjurs;60 60 per cent of median income;2000 2000;7.4
710 Favrskov;60 60 per cent of median income;2000 2000;5.5
730 Randers;60 60 per cent of median income;2000 2000;9.8
741 Samsø;60 60 per cent of median income;2000 2000;12.4
751 Aarhus;60 60 per cent of median income;2000 2000;16.1
760 Ringkøbing-Skjern;60 60 per cent of median income;2000 2000;7.6
773 Morsø;60 60 per cent of median income;2000 2000;10.4
787 Thisted;60 60 per cent of median income;2000 2000;10.0
810 Brønderslev;60 60 per cent of median income;2000 2000;9.4
820 Vesthimmerlands;60 60 per cent of median income;2000 2000;11.2
840 Rebild;60 60 per cent of median income;2000 2000;7.8
849 Jammerbugt;60 60 per cent of median income;2000 2000;8.6
860 Hjørring;60 60 per cent of median income;2000 2000;10.0
101 Copenhagen;60 60 per cent of median income;2005 2005;22.3
151 Ballerup;60 60 per cent of median income;2005 2005;7.6
155 Dragør;60 60 per cent of median income;2005 2005;5.1
159 Gladsaxe;60 60 per cent of median income;2005 2005;9.7
163 Herlev;60 60 per cent of median income;2005 2005;10.1
167 Hvidovre;60 60 per cent of median income;2005 2005;10.3
173 Lyngby-Taarbæk;60 60 per cent of median income;2005 2005;8.8
183 Ishøj;60 60 per cent of median income;2005 2005;12.9
187 Vallensbæk;60 60 per cent of median income;2005 2005;4.5
201 Allerød;60 60 per cent of median income;2005 2005;3.6
